iter,total,root_orient_gvhmr_weight,root_orient_gvhmr_raw,root_orient_gvhmr_scaled,pose_gvhmr_weight,pose_gvhmr_raw,pose_gvhmr_scaled,height_prior_weight,height_prior_raw,height_prior_scaled,scene_intersect_weight,scene_intersect_raw,scene_intersect_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,self_intersect_weight,self_intersect_raw,self_intersect_scaled,scene_intersect_num_scene_collision_points,scene_intersect_num_sdf_query_points,scene_intersect_num_inside_or_margin_points
1744,0.6651032567024231,0.0,0.025144092738628387,0.0,10.0,0.009515037760138512,0.09515037760138512,1.0,0.00010415294673293829,0.00010415294673293829,8.71935967983992,0.012180287390947342,0.10620430676548884,500.0,0.0008320598863065243,0.41602994315326214,0.000871935967983992,54.6077995300293,0.04761450454269188,700000,700000,2992
1745,0.6649089455604553,0.0,0.025136254727840424,0.0,10.0,0.00952090322971344,0.0952090322971344,1.0,0.00010415294673293829,0.00010415294673293829,8.724362181090545,0.012221847660839558,0.10662782551527858,500.0,0.0008317199535667896,0.4158599767833948,0.0008724362181090546,53.99592590332031,0.04710800138838951,700000,700000,2993
1746,0.6646318435668945,0.0,0.02512132003903389,0.0,10.0,0.009527219459414482,0.09527219459414482,1.0,0.0001042966905515641,0.0001042966905515641,8.72936468234117,0.012128409929573536,0.10587331329217518,500.0,0.0008325501112267375,0.41627505561336875,0.0008729364682341171,53.963783264160156,0.04710695437516732,700000,700000,2998
1747,0.6664340496063232,0.0,0.02512044459581375,0.0,10.0,0.009531918913125992,0.09531918913125992,1.0,0.00010458449105499312,0.00010458449105499312,8.734367183591797,0.01228005439043045,0.10725850408049808,500.0,0.0008333619334734976,0.4166809667367488,0.0008734367183591795,53.89145278930664,0.04707077367190064,700000,700000,2970
1748,0.6658857464790344,0.0,0.0251171737909317,0.0,10.0,0.009537169709801674,0.09537169709801674,1.0,0.0001047285259119235,0.0001047285259119235,8.739369684842421,0.012184420600533485,0.10648415602367182,500.0,0.0008338343468494713,0.41691717342473567,0.0008739369684842422,53.788734436035156,0.04700796351163253,700000,700000,2973
1749,0.6660504341125488,0.0,0.025117915123701096,0.0,10.0,0.009541722014546394,0.09541722014546394,1.0,0.00010420085891382769,0.00010420085891382769,8.744372186093047,0.012171936221420765,0.10643594054549024,500.0,0.0008334628655575216,0.4167314327787608,0.0008744372186093046,54.162418365478516,0.04736163446866255,700000,700000,2980
1750,0.6660210490226746,0.0,0.02512231282889843,0.0,10.0,0.009546916000545025,0.09546916000545025,1.0,0.00010338799620512873,0.00010338799620512873,8.749374687343671,0.012171244248747826,0.10649077634347147,500.0,0.0008329247357323766,0.4164623678661883,0.0008749374687343672,54.2843132019043,0.047495379584857736,700000,700000,2970
1751,0.6648297309875488,0.0,0.025135396048426628,0.0,10.0,0.009555129334330559,0.09555129334330559,1.0,0.00010224586731055751,0.00010224586731055751,8.754377188594297,0.012135795317590237,0.10624132969376146,500.0,0.0008322623325511813,0.41613116627559066,0.0008754377188594297,53.46319580078125,0.04680369817477098,700000,700000,2991
1752,0.6652719378471375,0.0,0.025113925337791443,0.0,10.0,0.009571223519742489,0.09571223519742489,1.0,0.00010115726763615385,0.00010115726763615385,8.759379689844922,0.012150612659752369,0.10643182975100748,500.0,0.0008320480119436979,0.41602400597184896,0.0008759379689844923,53.659912109375,0.0470027544289723,700000,700000,2994
1753,0.6663010120391846,0.0,0.025085099041461945,0.0,10.0,0.009592944756150246,0.09592944756150246,1.0,0.00010045045928563923,0.00010045045928563923,8.764382191095548,0.012238315306603909,0.10726127272221134,500.0,0.0008323643123731017,0.41618215618655086,0.0008764382191095548,53.42951965332031,0.046827673052835014,700000,700000,2973
1754,0.6659373641014099,0.0,0.025090700015425682,0.0,10.0,0.00961530115455389,0.0961530115455389,1.0,0.00010073289013234898,0.00010073289013234898,8.769384692346174,0.01220901682972908,0.10706556529522301,500.0,0.0008334949961863458,0.4167474980931729,0.0008769384692346174,52.30760192871094,0.04587054836469749,700000,700000,2932
1755,0.6660241484642029,0.0,0.025113064795732498,0.0,10.0,0.009637963958084583,0.09637963958084583,1.0,0.00010106289118994027,0.00010106289118994027,8.774387193596798,0.012201600708067417,0.10706156899424837,500.0,0.0008338901679962873,0.4169450839981437,0.0008774387193596798,51.89744567871094,0.04553682827436668,700000,700000,2963
1756,0.6653974056243896,0.0,0.02512088418006897,0.0,10.0,0.009662560187280178,0.09662560187280178,1.0,0.00010115726763615385,0.00010115726763615385,8.779389694847424,0.012255961075425148,0.10759985836603869,500.0,0.0008328431285917759,0.41642156429588795,0.0008779389694847425,50.85691833496094,0.04464927047416531,700000,700000,2973
1757,0.665435254573822,0.0,0.025103000923991203,0.0,10.0,0.009688413701951504,0.09688413701951504,1.0,0.00010096853657159954,0.00010096853657159954,8.784392196098048,0.012267900630831718,0.10776605056398447,500.0,0.0008321442874148488,0.4160721437074244,0.0008784392196098049,50.785499572753906,0.044611974612184024,700000,700000,2944
1758,0.6661131381988525,0.0,0.02508462965488434,0.0,10.0,0.009713421575725079,0.09713421575725079,1.0,0.000100638710136991,0.000100638710136991,8.789394697348675,0.012171817012131214,0.10698290390352448,500.0,0.0008326902752742171,0.41634513763710856,0.0008789394697348675,51.82405090332031,0.045550203820477135,700000,700000,2970
1759,0.6671513319015503,0.0,0.025073524564504623,0.0,10.0,0.009736290201544762,0.09736290201544762,1.0,9.9792996479664e-05,9.9792996479664e-05,8.794397198599299,0.012178025208413601,0.10709839077734422,500.0,0.00083332130452618,0.41666065226309,0.00087943971985993,52.225955963134766,0.04592958008163628,700000,700000,2968
